STATE,Total,Number,Standard error,Percent
Alabama,4655,770,60,16.6
Alaska,688,81,8,11.7
Arizona,6508,1381,84,21.2
Arkansas,2846,538,40,18.9
California,36742,5638,177,15.3
Colorado,4969,613,58,12.3
Connecticut,3472,292,35,8.4
Delaware,883,109,11,12.3
D.C.,595,107,9,17.9
Florida,18385,2676,116,14.6
Georgia,9657,1775,91,18.4
Hawaii,1250,156,14,12.5
Idaho,1524,209,19,13.7
Illinois,12759,1690,94,13.2
Indiana,6342,1023,70,16.1
Iowa,2987,319,34,10.7
Kansas,2737,374,35,13.7
Kentucky,4276,727,58,17
Louisiana,4450,636,55,14.3
Maine,1297,148,16,11.4
Maryland,5662,543,54,9.6
Massachusetts,6623,717,60,10.8
Michigan,9797,1376,83,14
Minnesota,5200,576,54,11.1
Mississippi,2847,658,44,23.1
Missouri,5963,926,68,15.5
Montana,971,131,12,13.5
Nebraska,1778,176,20,9.9
Nevada,2629,343,32,13
New Hampshire,1313,103,13,7.8
New Jersey,8660,806,66,9.3
New Mexico,1971,381,31,19.3
New York,19158,3018,125,15.8
North Carolina,9336,1576,88,16.9
North Dakota,632,69,7,10.9
Ohio,11441,1526,87,13.3
Oklahoma,3632,468,44,12.9
Oregon,3821,510,49,13.4
Pennsylvania,12401,1376,84,11.1
Rhode Island,1030,134,14,13
South Carolina,4501,618,55,13.7
South Dakota,799,113,9,14.1
Tennessee,6240,1031,70,16.5
Texas,24632,4262,154,17.3
Utah,2794,270,26,9.7
Vermont,617,58,7,9.4
Virginia,7767,831,65,10.7
Washington,6697,781,65,11.7
West Virginia,1801,285,22,15.8
Wisconsin,5545,599,56,10.8
Wyoming,540,50,6,9.2
